NAME                                       DISPLAY NAME              DEFAULT CHANNEL
3scale-community-operator                                            threescale-2.13
ack-acm-controller                                                   alpha
ack-acmpca-controller                                                alpha
ack-apigateway-controller                                            alpha
ack-apigatewayv2-controller                                          alpha
ack-applicationautoscaling-controller                                alpha
ack-cloudfront-controller                                            alpha
ack-cloudtrail-controller                                            alpha
ack-cloudwatch-controller                                            alpha
ack-cloudwatchlogs-controller                                        alpha
ack-documentdb-controller                                            alpha
ack-dynamodb-controller                                              alpha
ack-ec2-controller                                                   alpha
ack-ecr-controller                                                   alpha
ack-ecs-controller                                                   alpha
ack-efs-controller                                                   alpha
ack-eks-controller                                                   alpha
ack-elasticache-controller                                           alpha
ack-elbv2-controller                                                 alpha
ack-emrcontainers-controller                                         alpha
ack-eventbridge-controller                                           alpha
ack-iam-controller                                                   alpha
ack-kafka-controller                                                 alpha
ack-keyspaces-controller                                             alpha
ack-kinesis-controller                                               alpha
ack-kms-controller                                                   alpha
ack-lambda-controller                                                alpha
ack-memorydb-controller                                              alpha
ack-mq-controller                                                    alpha
ack-networkfirewall-controller                                       alpha
ack-opensearchservice-controller                                     alpha
ack-organizations-controller                                         alpha
ack-pipes-controller                                                 alpha
ack-prometheusservice-controller                                     alpha
ack-rds-controller                                                   alpha
ack-recyclebin-controller                                            alpha
ack-route53-controller                                               alpha
ack-route53resolver-controller                                       alpha
ack-s3-controller                                                    alpha
ack-sagemaker-controller                                             alpha
ack-secretsmanager-controller                                        alpha
ack-sfn-controller                                                   alpha
ack-sns-controller                                                   alpha
ack-sqs-controller                                                   alpha
ack-ssm-controller                                                   alpha
ack-wafv2-controller                                                 alpha
aerospike-kubernetes-operator                                        stable
airflow-helm-operator                                                alpha
alvearie-imaging-ingestion                                           alpha
amd-gpu-operator                                                     alpha
analytics-operator                                                   alpha
annotationlab                                                        alpha
apicast-community-operator                                           stable
apicurio-registry                                                    2.x
apicurito                                                            latest
apimatic-kubernetes-operator                                         alpha
application-services-metering-operator                               alpha
aqua                                                                 2022.4.0
argocd-operator                                                      alpha
assisted-service-operator                                            alpha
authorino-operator                                                   stable
automotive-infra                                                     alpha
aws-efs-operator                                                     stable
awss3-operator-registry                                              alpha
azure-service-operator                                               stable
beegfs-csi-driver-operator                                           stable
bpfman-operator                                                      alpha
camel-k                                                              stable-v2
camel-karavan-operator                                               alpha
cass-operator-community                                              stable
cert-manager                                                         stable
cert-utils-operator                                                  alpha
cluster-aas-operator                                                 alpha
cluster-impairment-operator                                          beta
cluster-manager                                                      stable
cockroachdb                                                          stable-v6.x
codeflare-operator                                                   alpha
community-kubevirt-hyperconverged                                    stable
community-trivy-operator                                             stable
community-windows-machine-config-operator                            preview
customized-user-remediation                                          alpha
cxl-operator                                                         alpha
dapr-kubernetes-operator                                             alpha
datadog-operator                                                     stable
datatrucker-operator                                                 alpha
dbaas-operator                                                       stable
debezium-operator                                                    debezium-latest
dell-csm-operator                                                    stable
deployment-validation-operator                                       alpha
devopsinabox                                                         alpha
dns-operator                                                         stable
dynatrace-operator                                                   alpha
eclipse-amlen-operator                                               alpha
eclipse-che                                                          stable
ecr-secret-operator                                                  v0.4
edp-keycloak-operator                                                stable
eginnovations-operator                                               beta
egressip-ipam-operator                                               alpha
ember-csi-community-operator                                         beta
etcd                                                                 singlenamespace-alpha
eventing-kogito                                                      alpha
external-secrets-operator                                            alpha
